image,orig_height,orig_width,eval_height,eval_width,orig_megapixels,eval_megapixels,downscale_factor,gt_count,pred_count,signed_error,abs_error,orig_pixels_per_person,eval_pixels_per_person
037.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,5951,5214.31005859375,-736.68994140625,736.68994140625,1057.2098806923207,1057.2098806923207
085.jpg,2112,3072,2112,3072,6.488064,6.488064,1.0,3583,4209.09326171875,626.09326171875,626.09326171875,1810.7909572983533,1810.7909572983533
421.jpg,1696,2496,1696,2496,4.233216,4.233216,1.0,1479,1915.8162841796875,436.8162841796875,436.8162841796875,2862.215010141988,2862.215010141988
140.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,993,582.111083984375,-410.888916015625,410.888916015625,6335.80664652568,6335.80664652568
478.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,6799,6392.2744140625,-406.7255859375,406.7255859375,925.3501985586115,925.3501985586115
202.jpg,1632,3072,1632,3072,5.013504,5.013504,1.0,221,588.2613525390625,367.2613525390625,367.2613525390625,22685.53846153846,22685.53846153846
047.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,2407,2745.83251953125,338.83251953125,338.83251953125,2613.816368923972,2613.816368923972
071.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,1977,2299.9052734375,322.9052734375,322.9052734375,3182.3247344461306,3182.3247344461306
105.jpg,1664,2400,1664,2400,3.9936,3.9936,1.0,1202,1520.138427734375,318.138427734375,318.138427734375,3322.4625623960064,3322.4625623960064
362.jpg,1952,3008,1952,3008,5.871616,5.871616,1.0,814,1100.14111328125,286.14111328125,286.14111328125,7213.287469287469,7213.287469287469
477.jpg,2304,3072,2304,3072,7.077888,7.077888,1.0,1581,1305.1419677734375,-275.8580322265625,275.8580322265625,4476.842504743833,4476.842504743833
120.jpg,2304,3072,2304,3072,7.077888,7.077888,1.0,894,1148.56884765625,254.56884765625,254.56884765625,7917.10067114094,7917.10067114094
108.jpg,1856,3008,1856,3008,5.582848,5.582848,1.0,805,1053.2862548828125,248.2862548828125,248.2862548828125,6935.214906832298,6935.214906832298
257.jpg,2304,3072,2304,3072,7.077888,7.077888,1.0,1713,1465.4324951171875,-247.5675048828125,247.5675048828125,4131.866900175131,4131.866900175131
194.jpg,1920,2560,1920,2560,4.9152,4.9152,1.0,1357,1590.2860107421875,233.2860107421875,233.2860107421875,3622.10759027266,3622.10759027266
152.jpg,1088,1632,1088,1632,1.775616,1.775616,1.0,373,597.0059814453125,224.0059814453125,224.0059814453125,4760.364611260054,4760.364611260054
413.jpg,1280,1952,1280,1952,2.49856,2.49856,1.0,541,731.1895751953125,190.1895751953125,190.1895751953125,4618.410351201479,4618.410351201479
036.jpg,1088,1440,1088,1440,1.56672,1.56672,1.0,357,529.156005859375,172.156005859375,172.156005859375,4388.571428571428,4388.571428571428
418.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,765,593.2423706054688,-171.75762939453125,171.75762939453125,8224.125490196078,8224.125490196078
212.jpg,1248,1920,1248,1920,2.39616,2.39616,1.0,1088,918.4154052734375,-169.5845947265625,169.5845947265625,2202.3529411764707,2202.3529411764707
064.jpg,672,3072,672,3072,2.064384,2.064384,1.0,981,811.6731567382812,-169.32684326171875,169.32684326171875,2104.3669724770643,2104.3669724770643
164.jpg,1824,3072,1824,3072,5.603328,5.603328,1.0,2535,2374.048583984375,-160.951416015625,160.951416015625,2210.3857988165682,2210.3857988165682
266.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,2947,2791.140380859375,-155.859619140625,155.859619140625,2134.8680013573126,2134.8680013573126
129.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,1081,1226.421875,145.421875,145.421875,5820.033302497687,5820.033302497687
185.jpg,1376,1856,1376,1856,2.553856,2.553856,1.0,371,513.658935546875,142.658935546875,142.658935546875,6883.708894878706,6883.708894878706
263.jpg,1216,1856,1216,1856,2.256896,2.256896,1.0,508,365.5457763671875,-142.4542236328125,142.4542236328125,4442.708661417323,4442.708661417323
239.jpg,1824,2816,1824,2816,5.136384,5.136384,1.0,0,141.12818908691406,141.12818908691406,141.12818908691406,5136384.0,5136384.0
067.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,1505,1380.8533935546875,-124.1466064453125,124.1466064453125,4180.369435215946,4180.369435215946
017.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,2167,2044.65380859375,-122.34619140625,122.34619140625,2903.3022611905863,2903.3022611905863
014.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,750,871.0616455078125,121.0616455078125,121.0616455078125,8388.608,8388.608
195.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,622,501.0365295410156,-120.96347045898438,120.96347045898438,10114.881028938908,10114.881028938908
051.jpg,1920,2592,1920,2592,4.97664,4.97664,1.0,214,333.2021789550781,119.20217895507812,119.20217895507812,23255.327102803738,23255.327102803738
181.jpg,1152,1856,1152,1856,2.138112,2.138112,1.0,580,698.1299438476562,118.12994384765625,118.12994384765625,3686.4,3686.4
265.jpg,1344,1920,1344,1920,2.58048,2.58048,1.0,284,393.0907287597656,109.09072875976562,109.09072875976562,9086.197183098591,9086.197183098591
143.jpg,1216,1600,1216,1600,1.9456,1.9456,1.0,407,515.9481811523438,108.94818115234375,108.94818115234375,4780.343980343981,4780.343980343981
023.jpg,1280,1920,1280,1920,2.4576,2.4576,1.0,1456,1349.9971923828125,-106.0028076171875,106.0028076171875,1687.9120879120878,1687.9120879120878
141.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,1270,1371.3980712890625,101.3980712890625,101.3980712890625,4953.902362204724,4953.902362204724
008.jpg,1632,2176,1632,2176,3.551232,3.551232,1.0,440,339.64129638671875,-100.35870361328125,100.35870361328125,8070.981818181818,8070.981818181818
214.jpg,1088,1920,1088,1920,2.08896,2.08896,1.0,1186,1286.350830078125,100.350830078125,100.350830078125,1761.3490725126476,1761.3490725126476
351.jpg,1184,2048,1184,2048,2.424832,2.424832,1.0,722,624.38330078125,-97.61669921875,97.61669921875,3358.493074792244,3358.493074792244
155.jpg,1088,1920,1088,1920,2.08896,2.08896,1.0,576,478.5357971191406,-97.46420288085938,97.46420288085938,3626.6666666666665,3626.6666666666665
335.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,438,342.23406982421875,-95.76593017578125,95.76593017578125,14364.054794520547,14364.054794520547
349.jpg,1984,3072,1984,3072,6.094848,6.094848,1.0,576,671.16748046875,95.16748046875,95.16748046875,10581.333333333334,10581.333333333334
142.jpg,1376,2592,1376,2592,3.566592,3.566592,1.0,280,373.33013916015625,93.33013916015625,93.33013916015625,12737.828571428572,12737.828571428572
415.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,592,498.9851989746094,-93.01480102539062,93.01480102539062,10627.45945945946,10627.45945945946
491.jpg,1088,1920,1088,1920,2.08896,2.08896,1.0,371,280.501220703125,-90.498779296875,90.498779296875,5630.619946091644,5630.619946091644
161.jpg,2080,3072,2080,3072,6.38976,6.38976,1.0,566,653.7531127929688,87.75311279296875,87.75311279296875,11289.328621908127,11289.328621908127
494.jpg,1120,2080,1120,2080,2.3296,2.3296,1.0,514,601.4644775390625,87.4644775390625,87.4644775390625,4532.295719844358,4532.295719844358
372.jpg,1312,1920,1312,1920,2.51904,2.51904,1.0,358,272.0770263671875,-85.9229736328125,85.9229736328125,7036.424581005586,7036.424581005586
489.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,390,475.7444763183594,85.74447631835938,85.74447631835938,16131.938461538462,16131.938461538462
293.jpg,3072,2048,3072,2048,6.291456,6.291456,1.0,1448,1533.556884765625,85.556884765625,85.556884765625,4344.92817679558,4344.92817679558
081.jpg,1216,1600,1216,1600,1.9456,1.9456,1.0,224,307.78045654296875,83.78045654296875,83.78045654296875,8685.714285714286,8685.714285714286
198.jpg,2304,3072,2304,3072,7.077888,7.077888,1.0,235,318.5042419433594,83.50424194335938,83.50424194335938,30118.67234042553,30118.67234042553
055.jpg,2304,3072,2304,3072,7.077888,7.077888,1.0,602,682.6795654296875,80.6795654296875,80.6795654296875,11757.289036544851,11757.289036544851
408.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,115,194.0810089111328,79.08100891113281,79.08100891113281,54708.31304347826,54708.31304347826
407.jpg,1728,3072,1728,3072,5.308416,5.308416,1.0,126,48.052574157714844,-77.94742584228516,77.94742584228516,42130.28571428572,42130.28571428572
224.jpg,1472,2496,1472,2496,3.674112,3.674112,1.0,384,306.27545166015625,-77.72454833984375,77.72454833984375,9568.0,9568.0
136.jpg,1088,1920,1088,1920,2.08896,2.08896,1.0,1748,1825.5667724609375,77.5667724609375,77.5667724609375,1195.0572082379863,1195.0572082379863
399.jpg,1152,3072,1152,3072,3.538944,3.538944,1.0,1138,1215.36962890625,77.36962890625,77.36962890625,3109.792618629174,3109.792618629174
264.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,186,263.2542724609375,77.2542724609375,77.2542724609375,33825.032258064515,33825.032258064515
159.jpg,992,1760,992,1760,1.74592,1.74592,1.0,873,797.5618286132812,-75.43817138671875,75.43817138671875,1999.9083619702176,1999.9083619702176
096.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,3470,3397.8623046875,-72.1376953125,72.1376953125,1813.099711815562,1813.099711815562
416.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,2670,2599.16552734375,-70.83447265625,70.83447265625,2356.350561797753,2356.350561797753
088.jpg,1984,3008,1984,3008,5.967872,5.967872,1.0,349,419.46160888671875,70.46160888671875,70.46160888671875,17099.91977077364,17099.91977077364
010.jpg,2432,3040,2432,3040,7.39328,7.39328,1.0,545,476.5372009277344,-68.46279907226562,68.46279907226562,13565.651376146789,13565.651376146789
076.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,1003,1070.833984375,67.833984375,67.833984375,6272.638085742772,6272.638085742772
314.jpg,1728,3072,1728,3072,5.308416,5.308416,1.0,0,66.11662292480469,66.11662292480469,66.11662292480469,5308416.0,5308416.0
395.jpg,1344,1984,1344,1984,2.666496,2.666496,1.0,773,838.7615356445312,65.76153564453125,65.76153564453125,3449.542043984476,3449.542043984476
289.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,958,1022.6192016601562,64.61920166015625,64.61920166015625,6567.281837160752,6567.281837160752
251.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,639,702.9793701171875,63.9793701171875,63.9793701171875,9845.784037558686,9845.784037558686
186.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,208,271.631591796875,63.631591796875,63.631591796875,30247.384615384617,30247.384615384617
005.jpg,1728,2592,1728,2592,4.478976,4.478976,1.0,1307,1369.2242431640625,62.2242431640625,62.2242431640625,3426.9135424636574,3426.9135424636574
095.jpg,2304,3072,2304,3072,7.077888,7.077888,1.0,888,826.542236328125,-61.457763671875,61.457763671875,7970.594594594595,7970.594594594595
299.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,9728,9668.345703125,-59.654296875,59.654296875,646.7368421052631,646.7368421052631
135.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,524,464.9754333496094,-59.024566650390625,59.024566650390625,12006.595419847328,12006.595419847328
190.jpg,2016,3072,2016,3072,6.193152,6.193152,1.0,439,495.7450866699219,56.745086669921875,56.745086669921875,14107.407744874716,14107.407744874716
463.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,759,814.9899291992188,55.98992919921875,55.98992919921875,8289.138339920948,8289.138339920948
402.jpg,2304,3072,2304,3072,7.077888,7.077888,1.0,126,180.0973663330078,54.09736633300781,54.09736633300781,56173.71428571428,56173.71428571428
270.jpg,1536,3072,1536,3072,4.718592,4.718592,1.0,146,200.08189392089844,54.08189392089844,54.08189392089844,32319.12328767123,32319.12328767123
498.jpg,1728,3072,1728,3072,5.308416,5.308416,1.0,486,539.8004150390625,53.8004150390625,53.8004150390625,10922.666666666666,10922.666666666666
111.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,956,1009.50537109375,53.50537109375,53.50537109375,6581.020920502092,6581.020920502092
229.jpg,1728,2592,1728,2592,4.478976,4.478976,1.0,555,502.0542297363281,-52.945770263671875,52.945770263671875,8070.227027027027,8070.227027027027
472.jpg,1920,3072,1920,3072,5.89824,5.89824,1.0,962,1014.197509765625,52.197509765625,52.197509765625,6131.226611226612,6131.226611226612
026.jpg,1664,3072,1664,3072,5.111808,5.111808,1.0,208,260.0234375,52.0234375,52.0234375,24576.0,24576.0
485.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,990,938.1390991210938,-51.86090087890625,51.86090087890625,6355.006060606061,6355.006060606061
121.jpg,2304,3072,2304,3072,7.077888,7.077888,1.0,232,282.0305480957031,50.030548095703125,50.030548095703125,30508.137931034482,30508.137931034482
052.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,3588,3538.548095703125,-49.451904296875,49.451904296875,1753.4715719063545,1753.4715719063545
336.jpg,2048,3072,2048,3072,6.291456,6.291456,1.0,514,563.108642578125,49.108642578125,49.108642578125,12240.186770428016,12240.186770428016
162.jpg,1088,1920,1088,1920,2.08896,2.08896,1.0,424,471.7789306640625,47.7789306640625,47.7789306640625,4926.792452830188,4926.792452830188
331.jpg,1056,1600,1056,1600,1.6896,1.6896,1.0,311,263.4122314453125,-47.5877685546875,47.5877685546875,5432.797427652733,5432.797427652733
260.jpg,1120,1696,1120,1696,1.89952,1.89952,1.0,105,152.4193115234375,47.4193115234375,47.4193115234375,18090.666666666668,18090.666666666668
233.jpg,2464,3072,2464,3072,7.569408,7.569408,1.0,17,63.69538497924805,46.69538497924805,46.69538497924805,445259.29411764705,445259.29411764705
454.jpg,1184,3072,1184,3072,3.637248,3.637248,1.0,857,903.0446166992188,46.04461669921875,46.04461669921875,4244.163360560094,4244.163360560094
